country,pop,fertility,child,gdp,Avg_Temperature,Avg_Precipitation,Avg_Seasonality,Avg_Aridity,score
Eswatini,1.2094278934498622e-05,0.07279776509021639,0.12834779613447314,0.003305614731003468,0.0,0.0,0.0,0.0,0.3535533905932738
Ethiopia,0.014239621179346526,0.12076912910983346,0.07307797923629807,0.003166219393705216,0.0,0.0,0.0,0.0,4.823676724538776
Fiji,1.1750797405554467e-05,0.02912807597757896,0.05073064558634402,0.008103503272272048,0.0,0.0,0.0,0.0,0.7559289460184544
Finland,0.00013424468145901096,0.008926824295025514,0.001418522467204077,0.01765815315071429,0.0,0.0,0.0,0.0,6.599512969043355
France,0.0007930418851011353,0.026314225825131262,0.005078353339607524,0.03649817548194975,0.0,0.0,0.0,0.0,5.806400409400449
Gabon,0.0002771861718565947,0.04358550705138123,0.03349845289768725,0.02801938900870368,0.0,0.0,0.0,0.0,0.7559289460184544
Georgia,0.0006505682282361988,0.04848677674824913,0.03734554948184141,0.015792896274157607,0.0,0.0,0.0,0.0,6.279217421667403
Germany,0.0038090606559595124,0.034396948354271824,0.003280202381561636,0.03161529454575218,0.0,0.0,0.0,0.0,31.01583696850921
Ghana,0.003196734925687688,0.05523465179589118,0.019525520426108785,0.0037466773949097506,0.0,0.0,0.0,0.0,1.0690449676496976
Great Britain,0.000822003310114802,0.018795748461909706,0.005237619111838973,0.02531145917394589,0.0,0.0,0.0,0.0,28.00988345974634
Greece,0.0004772829734901408,0.02162121014275459,0.006022487323686008,0.030803322295321026,0.0,0.0,0.0,0.0,17.751760476076733
Guatemala,0.001479782757518132,0.12049328880013094,0.008678545263426238,0.005016516331183629,0.0,0.0,0.0,0.0,1.2817398889233114
Guinea-Bissau,0.00019588729712123132,0.06968428156000446,0.029592814994035165,0.0019289541016746113,0.0,0.0,0.0,0.0,0.4629100498862757
Guyana,3.633022242578515e-05,0.02725946535432637,0.02798313297086223,0.02014227367067854,0.0,0.0,0.0,0.0,0.46291004988627577
Haiti,0.00067263250751858,0.09427262266185972,0.044587626696571465,0.0035012898136784873,0.0,0.0,0.0,0.0,0.4629100498862757
Honduras,0.0009523556553638602,0.11310388348553807,0.009533153585700662,0.0028189253772950007,0.0,0.0,0.0,0.0,0.7559289460184545
Hong Kong China,0.00014011500571423966,0.02032664200545979,0.000979870151329508,0.017689712400952254,0.0,0.0,0.0,0.0,3.927922024247863
Hungary,0.0006957977805008104,0.0362511449509513,0.003922795406567686,0.011814264576108452,0.0,0.0,0.0,0.0,11.792854979665805
Iceland,1.2070477503389071e-05,0.01584120534926138,0.0010275113022535812,0.014979270276081952,0.0,0.0,0.0,0.0,1.0690449676496976
India,0.0784997494676435,0.07351279094827186,0.03755208488833882,0.006296144963777501,0.0,0.0,0.0,0.0,7.887603293414656
Indonesia,0.01163584260228517,0.02101740521216416,0.016437522816453057,0.007524466357723653,0.0,0.0,0.0,0.0,2.121320343559643
Iran,0.003990603156083568,0.10271089830030464,0.017802510203755173,0.005146097565901548,0.0,0.0,0.0,0.0,3.7961446607992024
Iraq,0.004982436361895915,0.06767867035616597,0.021850975807337386,0.00935319105014315,0.0,0.0,0.0,0.0,1.3093073414159542
Ireland,0.00021430913193531213,0.016645581828838834,0.002502277235794829,0.07970992589141368,0.0,0.0,0.0,0.0,5.01426536422407
Israel,0.0006914770945360747,0.04912690087365987,0.0013605376702421185,0.019334486453370197,0.0,0.0,0.0,0.0,6.369570517030843
Italy,0.0020067005523589357,0.01844986842757707,0.0013124164501875954,0.049381483848745966,0.0,0.0,0.0,0.0,12.080089876676064
Ivory Coast,0.0031489601960125253,0.04103805232975718,0.061670498253538854,0.004953550939441873,0.0,0.0,0.0,0.0,1.3562026818605377
Jamaica,2.8345312638200515e-05,0.0737618769800912,0.01322779292984193,0.011959155080236929,0.0,0.0,0.0,0.0,5.276294695549682
Japan,0.00582888383384006,0.01414137297304299,0.0017951040020022229,0.04617030427363755,0.0,0.0,0.0,0.0,18.589071290104073
Jordan,0.0015170659331597196,0.07713100922369107,0.010698907566761607,0.00901073936570256,0.0,0.0,0.0,0.0,0.7559289460184544
Kazakhstan,0.0008707184948364118,0.10176565316750125,0.04447696504440597,0.02121428897029323,0.0,0.0,0.0,0.0,12.270755012281379
Kenya,0.005936912415183121,0.0808251273654843,0.04755792973398847,0.003098494554130449,0.0,0.0,0.0,0.0,4.334248987508019
Kuwait,0.0006606373774948435,0.06873999806799239,0.007222398068440905,0.0751447236975006,0.0,0.0,0.0,0.0,1.2817398889233114
Kyrgyzstan,0.00029950232319996033,0.05500733956902212,0.024649869725982532,0.005517350294740872,0.0,0.0,0.0,0.0,3.4226138716316967
Latvia,0.00031126419672123463,0.04280275359554653,0.012830944412179121,0.02614453857001116,0.0,0.0,0.0,0.0,2.138089935299395
Lebanon,0.00043293192255510404,0.03496318733894941,0.01284024206567996,0.01128582918037814,0.0,0.0,0.0,0.0,0.5175491695067657
Liberia,0.0007163935208753508,0.06814564195233627,0.12920827317543435,0.002117318536615445,0.0,0.0,0.0,0.0,0.3535533905932738
Lithuania,0.0004297990069536284,0.03084759775351952,0.0072120022967376825,0.033259116025667224,0.0,0.0,0.0,0.0,3.4615231989895516
Luxembourg,3.909717060411631e-05,0.013198139892848095,0.0014959605996345995,0.026890195850765363,0.0,0.0,0.0,0.0,0.8345229603962802
Madagascar,0.0034438396435050376,0.07017429141132696,0.032769334351453926,0.001862861563148498,0.0,0.0,0.0,0.0,0.4629100498862757
Malaysia,0.00282747318048461,0.07718831635047363,0.009370919690315003,0.010362402977753954,0.0,0.0,0.0,0.0,3.583194903195431
Mali,0.0026789603096583014,0.021429003595756616,0.037461277609837314,0.0009016420955867611,0.0,0.0,0.0,0.0,0.3535533905932738
Mexico,0.005895178075174004,0.04519627643118357,0.008650719994448558,0.016132578745534185,0.0,0.0,0.0,0.0,5.318431562567509
Moldova,0.0006041480345680167,0.039192358957255695,0.016567354355397707,0.013472683212001998,0.0,0.0,0.0,0.0,3.720119045714225
Mongolia,0.00014939105219263877,0.0763990127970749,0.07778105823239838,0.01224935120105034,0.0,0.0,0.0,0.0,6.112048990080401
Montenegro,3.8711125169017304e-05,0.024136689725591458,0.014723333365025907,0.007265722402681693,0.0,0.0,0.0,0.0,1.4880476182856899
Morocco,0.0015875739213328064,0.05203364571005858,0.017488025483803987,0.0028763737093179535,0.0,0.0,0.0,0.0,2.4748737341529163
Mozambique,0.003444957619191506,0.023159709133683586,0.07492214075238234,0.0018172449537935394,0.0,0.0,0.0,0.0,0.7559289460184544
Myanmar,0.0008549416920866156,0.04496367845782086,0.04444952241557326,0.006591804371489297,0.0,0.0,0.0,0.0,1.164964745021435
Namibia,0.0002273031369032892,0.057790355908775334,0.04595754167882285,0.005102020648877531,0.0,0.0,0.0,0.0,1.1259916264596033
Netherlands,0.00023007641822590962,0.022825090939850082,0.0036317676833755174,0.02738128728497718,0.0,0.0,0.0,0.0,13.710658002340473
New Zealand,0.00019304171383729694,0.012263781687156021,0.008037205297504537,0.017803560806663104,0.0,0.0,0.0,0.0,8.451542547285166
Nicaragua,0.0003151054452907504,0.0778503723078381,0.022901967658348416,0.0020108570827797826,0.0,0.0,0.0,0.0,0.7440238091428449
Nigeria,0.023422748816634646,0.023416376378291914,0.10734962179793406,0.002725677268646575,0.0,0.0,0.0,0.0,3.8149143409218813
North Korea,0.00015196698223216622,0.018548323227494456,0.05127666820426502,0.0038411053934200847,0.0,0.0,0.0,0.0,6.937218462755804
Norway,9.323539375836052e-05,0.006976585684002022,0.0010626800898393977,0.043847154155460116,0.0,0.0,0.0,0.0,5.153015760559193
Oman,0.0006254907601241545,0.14496770788524516,0.012503684035687137,0.032060266438762246,0.0,0.0,0.0,0.0,0.3535533905932738
Pakistan,0.022044496478270267,0.09325108368932432,0.05697038735039979,0.002885226870115195,0.0,0.0,0.0,0.0,1.457737973711325
Panama,0.00030259448483050067,0.010871974072769734,0.013207626355971957,0.022260701251187127,0.0,0.0,0.0,0.0,0.8864052604279183
Papua New Guinea,0.0012173980588446485,0.055572791892958044,0.04767345122426514,0.005826292986635615,0.0,0.0,0.0,0.0,0.8345229603962802
Paraguay,0.0003418344724622516,0.08176206898432083,0.01452069190833136,0.007776975269608842,0.0,0.0,0.0,0.0,0.5175491695067657
