country,pop,fertility,child,gdp,Avg_Temperature,Avg_Precipitation,Avg_Seasonality,Avg_Aridity,score
Haiti,0.00697773101414365,0.4398871689562979,0.4660081645055155,0.014544833337661663,0.866666667,0.866666667,0.8,0.2,0.25
Honduras,0.005791488579450287,0.40501366751416495,0.13854214331647652,0.02462334312996981,0.8,0.84,0.74,0.26,0.5
Hong Kong China,0.005199622421812137,0.020911715955941025,0.0016986102234476876,0.27215929619785173,0.43125,0.45625,0.36875,0.35,8.5
Hungary,0.0076882702574665,0.07729019584765738,0.024722661511278325,0.1334285351420242,0.5,0.5,0.45,0.45,57.25
Iceland,0.00022757395092235,0.16235140870005677,0.0009246495563452375,0.2688262454799557,0.25,0.3,0.25,0.25,1.5
India,0.882600734756114,0.29401026915141093,0.34683756764351903,0.01869156656834521,0.468421053,0.484210526,0.373684211,0.384210526,14.25
Indonesia,0.17745043039658498,0.2361684761505524,0.2084484511615082,0.04306374812440013,0.78,0.82,0.72,0.26,13.25
Iran,0.0557242796990178,0.18935939736164104,0.12024485628572501,0.07493115813104802,0.4875,0.4125,0.325,0.5625,14.875
Iraq,0.022179497252143836,0.5449960778475375,0.18572742567757927,0.03942407566191688,0.5,0.44,0.34,0.5,1.0
Ireland,0.0032129808844798624,0.14732654107705143,0.011347425637572925,0.3196725152842031,0.5,0.6,0.5,0.5,10.5
Israel,0.0051916436979086876,0.3061776826911761,0.01376055698684895,0.1970479892348298,0.566666667,0.466666667,0.3,0.566666667,9.0
Italy,0.044834837074689826,0.05606703288300325,0.008952990408542338,0.2510340833172018,0.4625,0.5,0.4125,0.4,90.75
Ivory Coast,0.015658922844546588,0.6794703424231954,0.6152329053514419,0.021108237715676763,0.8,0.8,0.7,0.25,1.125
Jamaica,0.0020296170223750376,0.16985442871369055,0.09053208139468688,0.056563602770015764,0.866666667,0.866666667,0.8,0.2,18.875
Japan,0.09680587743661938,0.06287586589285621,0.0037128243025487,0.23317910552116455,0.516666667,0.533333333,0.466666667,0.4,84.875
Jordan,0.005240091621489738,0.430001103027249,0.10631997138928642,0.055964151016127964,0.5,0.36,0.24,0.64,0.5
Kazakhstan,0.013033571664731075,0.24360700466123958,0.12491325865295756,0.09819108693220174,0.43,0.37,0.33,0.43,27.5
Kenya,0.028337390166125,0.5496604037964594,0.3707574797631355,0.018599458604160176,0.644444444,0.677777778,0.544444444,0.366666667,21.25
Kuwait,0.0020352541651845126,0.2383878841256135,0.04260905129405674,0.32110218242182487,0.6,0.2,0.1,0.8,1.75
Kyrgyzstan,0.004126874615782862,0.3116729202917156,0.17678282548569058,0.0212393211991837,0.375,0.3,0.2875,0.45,4.5
Latvia,0.001702454280662725,0.08019855443572863,0.035452482440702225,0.11194530483596693,0.5,0.5,0.45,0.45,7.5
Lebanon,0.003676112570278675,0.23352206813109422,0.059415716098988915,0.08074169299962679,0.6,0.7,0.5,0.45,0.375
Liberia,0.0026757603331848,0.6597817605479913,0.6866395179052994,0.004171454299710787,0.8,0.8,0.7,0.25,0.125
Lithuania,0.0024960676572662,0.08711657464750654,0.027400951146728626,0.12720074724831013,0.5,0.5,0.45,0.45,14.375
Luxembourg,0.000368119068670775,0.09835825302787259,0.004362245837741325,0.5840115461392988,0.5,0.6,0.5,0.5,0.875
Madagascar,0.015272100141343989,0.6322624902910222,0.4309641724852414,0.006109842381908187,0.625,0.725,0.5875,0.325,0.25
Malaysia,0.01994853547906216,0.230210046335279,0.03481438192163254,0.11091324313598466,0.95,0.95,0.9,0.15,7.625
Mali,0.011088842579196363,0.864911180056913,0.782023537509915,0.0073552294165842875,0.566666667,0.433333333,0.333333333,0.533333333,0.125
Mexico,0.08130598543969907,0.23722223438900567,0.09760857239878346,0.10835624409269558,0.6,0.621428571,0.485714286,0.428571429,18.0
Moldova,0.0029454958538542375,0.12032467881054806,0.10485435935590427,0.04510029737448305,0.533333333,0.566666667,0.5,0.466666667,6.125
Mongolia,0.002024606316777025,0.26349927907229537,0.20017593631982544,0.03700087412014404,0.266666667,0.183333333,0.166666667,0.4,12.25
Montenegro,0.00047493113608725,0.13795899306140894,0.02739307099467139,0.08464487875465475,0.575,0.625,0.5,0.45,1.25
Morocco,0.023444787421562537,0.2750787428396473,0.18945259182482121,0.0333203886141898,0.5,0.36,0.24,0.64,8.875
Mozambique,0.016272514486353938,0.7062636863934856,0.668694577482015,0.00156625209525845,0.5,0.65,0.45,0.325,1.0
Myanmar,0.0360749383782392,0.25078635022369483,0.3812002388829955,0.009660846812326476,0.475,0.6,0.4375,0.2875,0.75
Namibia,0.0015390698296188375,0.4429374178328055,0.2965396263124644,0.046719206294577376,0.45,0.25,0.175,0.7,1.875
Netherlands,0.012547869090268976,0.10923696704114222,0.011500470033812263,0.28987281913988056,0.5,0.6,0.5,0.5,56.375
